Local Authority,Library,Month,Type,Loans
CAMBS,Arbury Court Library,2019-12,adult fiction,1
CAMBS,Arbury Court Library,2019-12,adult fiction hardback,35
CAMBS,Arbury Court Library,2019-12,adult fiction large print hardback,10
CAMBS,Arbury Court Library,2019-12,adult fiction large print paperback,7
CAMBS,Arbury Court Library,2019-12,adult fiction paperback,75
CAMBS,Arbury Court Library,2019-12,adult non fiction hardback,15
CAMBS,Arbury Court Library,2019-12,adult non fiction large print hardback,1
CAMBS,Arbury Court Library,2019-12,adult non fiction paperback,34
CAMBS,Arbury Court Library,2019-12,children's fiction,8
CAMBS,Arbury Court Library,2019-12,children's spoken word cd set,2
CAMBS,Arbury Court Library,2019-12,dvd: 12,2
CAMBS,Arbury Court Library,2019-12,dvd: pg,1
CAMBS,Arbury Court Library,2019-12,dvd: u,2
CAMBS,Arbury Court Library,2019-12,junior fiction,313
CAMBS,Arbury Court Library,2019-12,junior large print,1
CAMBS,Arbury Court Library,2019-12,junior non-fiction,30
CAMBS,Arbury Court Library,2019-12,picture book,1
CAMBS,Arbury Court Library,2019-12,teenage,2
CAMBS,Arbury Court Library,2019-12,young adult,5
CAMBS,Arbury Court Library,2019-12,young adult fiction paperback,1
CAMBS,Arbury Court Library,2019-12,young adult plus,1
CAMBS,Arbury Court Library,2020-01,adult fiction,5
CAMBS,Arbury Court Library,2020-01,adult fiction hardback,46
CAMBS,Arbury Court Library,2020-01,adult fiction large print hardback,5
CAMBS,Arbury Court Library,2020-01,adult fiction large print paperback,9
CAMBS,Arbury Court Library,2020-01,adult fiction paperback,94
CAMBS,Arbury Court Library,2020-01,adult non fiction hardback,12
CAMBS,Arbury Court Library,2020-01,adult non fiction paperback,31
CAMBS,Arbury Court Library,2020-01,adult non-fiction,3
CAMBS,Arbury Court Library,2020-01,adult spoken word cd set,6
CAMBS,Arbury Court Library,2020-01,children's fiction,15
CAMBS,Arbury Court Library,2020-01,children's non fiction,4
CAMBS,Arbury Court Library,2020-01,children's spoken word cd set,9
CAMBS,Arbury Court Library,2020-01,dvd: 12,2
CAMBS,Arbury Court Library,2020-01,dvd: pg,1
CAMBS,Arbury Court Library,2020-01,dvd: u,1
CAMBS,Arbury Court Library,2020-01,junior fiction,557
CAMBS,Arbury Court Library,2020-01,junior non-fiction,47
CAMBS,Arbury Court Library,2020-01,map,3
CAMBS,Arbury Court Library,2020-01,quick pick fiction,2
CAMBS,Arbury Court Library,2020-01,teenage,6
CAMBS,Arbury Court Library,2020-01,young adult,8
CAMBS,Bar Hill Library,2019-12,adult fiction,7
CAMBS,Bar Hill Library,2019-12,adult fiction hardback,24
CAMBS,Bar Hill Library,2019-12,adult fiction large print paperback,2
CAMBS,Bar Hill Library,2019-12,adult fiction paperback,65
CAMBS,Bar Hill Library,2019-12,adult non fiction hardback,5
CAMBS,Bar Hill Library,2019-12,adult non fiction paperback,14
CAMBS,Bar Hill Library,2019-12,adult spoken word cd set,4
CAMBS,Bar Hill Library,2019-12,children's spoken word cd set,3
CAMBS,Bar Hill Library,2019-12,junior fiction,108
CAMBS,Bar Hill Library,2019-12,junior non-fiction,11
CAMBS,Bar Hill Library,2019-12,picture book,3
CAMBS,Bar Hill Library,2019-12,quick pick fiction,1
CAMBS,Bar Hill Library,2020-01,adult fiction,6
CAMBS,Bar Hill Library,2020-01,adult fiction hardback,46
